,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,838,11,0.001,0.1,1,0.0,10,-5.961405617384331,1.8480364965042189,0.04542024257615029,5.011013859809379,2.2385293966819777,1.4064099739003558e-05,1.0562551990459574,5.502931976558258e-05,4.2436421480033036e-05,4.6494204411374945e-06
1,869,11,0.001,45.1,1,0.0,10,-5.949086761830197,1.8911600052458635,0.04543411382703721,4.956013373428724,2.226210541127843,1.5274603745194534e-05,1.0569004539939753,5.51643153561407e-05,4.604969443952282e-05,4.973511661920954e-06
2,900,11,0.001,90.1,1,0.0,10,-5.953041676835961,1.8691505054142343,0.04542722769717902,4.973637961731622,2.2301654561336077,1.47762915111635e-05,1.0565801042999103,5.509639666749981e-05,4.435626739583313e-05,4.821209005580709e-06
3,1768,11,10.0,0.1,1,0.0,10,-5.782138280493438,2.445657007604007,0.04545787275559041,6.981436042649269,2.642240723826894,2.901574252878283e-06,1.0580061160687064,5.982761299461059e-05,7.230259727362749e-05,1.6239028777128133e-05
4,1799,11,10.0,45.1,1,0.0,10,-5.777454201004428,2.4591320981942935,0.04545727756567562,6.985547263827419,2.6430185893836273,2.862291306050277e-06,1.0579784108369712,5.986788108116795e-05,7.205463216948024e-05,1.6161446090622547e-05
5,1830,11,10.0,90.1,1,0.0,10,-5.785616480354474,2.405541779597675,0.04547243824566635,7.015807892943524,2.648737037333741,3.092475694707207e-06,1.0586842316742562,6.010144013474718e-05,7.840834817809281e-05,1.7356801011584886e-05
6,2698,11,25.0,0.1,1,0.0,10,-7.201104852639643,1.8550006037481137,0.04543937553624093,9.819973660788886,3.1336837206056525,2.3421405312001168e-06,1.0571452667294134,6.935643451958846e-05,1.2360468332842539e-05,3.8284340300295004e-05
7,2729,11,25.0,45.1,1,0.0,10,-7.197650639269349,1.978060083412398,0.045432208957032635,9.819178213573203,3.133556799161809,2.305990870128325e-06,1.056811832664837,6.88377728029266e-05,1.1818696523450344e-05,3.7092093620874396e-05
8,2760,11,25.0,90.1,1,0.0,10,-7.188675136193478,1.9404364909598288,0.045431658114460115,9.819132296898962,3.133549472546901,2.281416213100899e-06,1.0567862062014814,6.8831238480664e-05,1.1792304909318925e-05,3.711608505164339e-05
9,3628,11,40.0,0.1,1,0.0,10,-4.626960813781629,1.3152127618366118,0.04521375107076965,4.9018201071781595,2.21400544425215,1.225591603125051e-06,1.0466730423550676,6.105291134121018e-05,5.55406833630796e-05,7.924862470364355e-06
10,3659,11,40.0,45.1,1,0.0,10,-4.6255985968583175,1.264015433561735,0.04521201545779841,4.885187363496681,2.210245996149904,1.1529577591034693e-06,1.0465926869593418,6.071339173093986e-05,5.267718795139779e-05,7.61785529202503e-06
11,3690,11,40.0,90.1,1,0.0,10,-4.620210150187571,1.2912978344243715,0.045210259592609464,4.859157339985495,2.2043496410473304,1.1038383367687288e-06,1.0465113970652906,6.0468069005654074e-05,5.0489253764395453e-05,7.367680272363167e-06
12,4558,11,50.0,0.1,1,0.0,10,-6.330314466662655,1.710968048579774,0.0451012520338403,9.869322093717923,3.141547722654858,1.3844723230406827e-05,1.0414709427200686,6.616985162364154e-05,2.6733388346786704e-05,3.197749961546773e-05
13,4589,11,50.0,45.1,1,0.0,10,-6.329940259593853,1.7036601686136699,0.04510124899348338,9.862132178358008,3.1404031872289915,1.3385788056317358e-05,1.04147080230531,6.541629973000983e-05,2.5175038893438338e-05,3.0473288630555333e-05
14,4620,11,50.0,90.1,1,0.0,10,-6.326628530052123,1.7121211140344792,0.04510208290949099,9.850699010854045,3.1385823250082265,1.3053020584499483e-05,1.0415093159707904,6.480278293103512e-05,2.3860798300013163e-05,2.9354656929407825e-05
15,839,11,0.001,0.1,2,1760.3,10,-8.398039361099052,2.9092294643242917,0.04512768784426172,9.782331770909876,3.1276719410625335,1.2088380579084843e-05,1.042692203575091,7.133621003809227e-05,0.00017271907226589756,2.072360407740676e-05
16,870,11,0.001,45.1,2,1760.3,10,-8.397954020320828,2.1156118351667437,0.04512968493911507,9.78179794227797,3.1275866002843102,4.350143820312572e-06,1.0427844928866388,5.917477622582938e-05,5.428563153812667e-05,6.568199091578263e-06
17,901,11,0.001,90.1,2,1760.3,10,-8.397919609655556,2.094577734031846,0.045129282990761174,9.781582698790844,3.127552189619039,4.2396492349260515e-06,1.042765917812106,5.881501098890076e-05,5.178931525099967e-05,6.287368492665315e-06
18,1769,11,10.0,0.1,2,1760.3,10,-5.2720311541090386,4.764415896265317,0.048046931461287815,9.72369266707418,3.118283609146894,0.001423902740582572,1.1819559025629511,0.0006000078402161024,0.0050204359430474485,0.0006663762568829248
19,1800,11,10.0,45.1,2,1760.3,10,-5.290213764594746,3.1401624087010576,0.04570428543026658,9.8454658535968,3.137748532562289,7.60245609362005e-05,1.0695074337647248,6.485067066507608e-05,0.0001827031481090509,3.268135314102314e-05
20,1831,11,10.0,90.1,2,1760.3,10,-4.772904151953282,2.329245089509479,0.04544737013605663,6.867567455168674,2.620604406462119,2.474737605554649e-05,1.0575172875346766,5.768241066457417e-05,5.688604647988582e-05,1.1057843941409584e-05
21,2699,11,25.0,0.1,2,1760.3,10,-5.59105922339535,2.6181174890038523,0.04550681100705285,7.16875087118779,2.677452309787756,4.509664695511243e-05,1.0602853621719244,6.463118717862096e-05,8.562018899599593e-05,1.5634382171362857e-05
22,2730,11,25.0,45.1,2,1760.3,10,-5.743143097946451,4.688515133844215,0.047697613029235426,7.999216674698694,2.828288647698232,0.0012210786278925912,1.1648318917463136,0.0012357032093423515,0.0035772186934083434,0.0005434887482031345
23,2761,11,25.0,90.1,2,1760.3,10,-5.434593028867408,2.966323841833783,0.04562995636895886,6.354951811244924,2.520902975373095,7.390229826659962e-05,1.066031574110837,7.354651937850994e-05,0.00013341847734541854,2.406533324106971e-05
24,3629,11,40.0,0.1,2,1760.3,10,-6.854392341526937,2.6533533737742774,0.045720522250400936,9.754902209156311,3.1232838822553917,4.707539280000061e-06,1.0702674712597071,6.930569581389438e-05,0.000203692534057606,2.725334365645053e-05
25,3660,11,40.0,45.1,2,1760.3,10,-6.8549869791489755,2.573375838188931,0.045683756744473294,9.756563992437805,3.123549902344735,4.6076309961127536e-06,1.0685468826853544,6.826082081655893e-05,0.00017675270371494286,2.40606249849328e-05
26,3691,11,40.0,90.1,2,1760.3,10,-6.86194065921159,4.7174986708847815,0.04894221602923262,9.636385738420064,3.1042528470503274,1.0781363046203843e-05,1.226414340939415,0.000325241713771551,0.008069645762245312,0.000920299807144302
