,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
0,838,11,0.001,0.1,1,0.0,10,0.39793476991522153,0.0002551216647353375,3.5906604326332305e-08
1,869,11,0.001,45.1,1,0.0,10,0.3977754157602725,0.0002550195002626586,3.6488994524803755e-08
2,900,11,0.001,90.1,1,0.0,10,0.3978562409444716,0.0002550713185546731,3.622694962140322e-08
3,1768,11,10.0,0.1,1,0.0,10,0.3978610948124874,0.00025507427236895697,1.9630611271324266e-07
4,1799,11,10.0,45.1,1,0.0,10,0.39786821691456425,0.0002550788440621246,1.9687153752520413e-07
5,1830,11,10.0,90.1,1,0.0,10,0.3977115862301324,0.00025497840796141524,2.015287448011537e-07
6,2698,11,25.0,0.1,1,0.0,10,0.39765741127700477,0.0002549433956425806,3.031555913581181e-07
7,2729,11,25.0,45.1,1,0.0,10,0.39773812667710295,0.00025499517799512726,2.9367366536576547e-07
8,2760,11,25.0,90.1,1,0.0,10,0.3977443059323858,0.0002549991359891184,2.9476748004785816e-07
9,3628,11,40.0,0.1,1,0.0,10,0.4009859851044849,0.0002570776340165845,1.9228861931954435e-07
10,3659,11,40.0,45.1,1,0.0,10,0.40101412129986025,0.0002570956827629521,1.8768547067509237e-07
11,3690,11,40.0,90.1,1,0.0,10,0.40103575216191667,0.0002571095599681749,1.83370876210776e-07
12,4558,11,50.0,0.1,1,0.0,10,0.400862901577426,0.00025699870999791423,2.435842878820903e-07
13,4589,11,50.0,45.1,1,0.0,10,0.40089430380757124,0.00025701885059259774,2.4049908811474447e-07
14,4620,11,50.0,90.1,1,0.0,10,0.4009233176513743,0.00025703746409117906,2.3605971500786145e-07
15,839,11,0.001,0.1,2,1760.3,10,0.4003204033809556,0.0002566511700774957,1.6710308172835515e-07
16,870,11,0.001,45.1,2,1760.3,10,0.40098658380739327,0.00025707829322087276,1.0441927842782159e-07
17,901,11,0.001,90.1,2,1760.3,10,0.4010159153838561,0.00025709709647960704,1.0825108116832797e-07
18,1769,11,10.0,0.1,2,1760.3,10,0.3951693654666309,0.00025329449835271103,3.3783968027404226e-06
19,1800,11,10.0,45.1,2,1760.3,10,0.39987686187492794,0.0002563649619812496,5.570628770087002e-07
20,1831,11,10.0,90.1,2,1760.3,10,0.4006866210484659,0.00025688533226275896,3.1846003268627495e-07
21,2699,11,25.0,0.1,2,1760.3,10,0.40038965547111155,0.00025669549982713696,1.282680649335878e-07
22,2730,11,25.0,45.1,2,1760.3,10,0.3957000724265057,0.0002536830831647701,1.5567537188321634e-06
23,2761,11,25.0,90.1,2,1760.3,10,0.3999788431105821,0.0002564320826496523,1.523275118377081e-07
24,3629,11,40.0,0.1,2,1760.3,10,0.4002839717775321,0.00025662723018808067,3.252728854909574e-07
25,3660,11,40.0,45.1,2,1760.3,10,0.4003357579336162,0.00025666052115880423,3.006135564876515e-07
26,3691,11,40.0,90.1,2,1760.3,10,0.3963091818471633,0.0002540551487677286,2.1197526178853777e-06
27,4559,11,50.0,0.1,2,1760.3,10,0.3905828341910867,0.00025040747723519187,3.3325750338415337e-07
28,4590,11,50.0,45.1,2,1760.3,10,0.3913737370361219,0.0002509147242135907,3.100005885427254e-07
29,4621,11,50.0,90.1,2,1760.3,10,0.3921612560654425,0.00025141965796463786,2.9818308267407723e-07
30,840,11,0.001,0.1,3,3520.7,10,0.38579120903063513,0.0002473298481841753,1.0671876182593222e-06
31,871,11,0.001,45.1,3,3520.7,10,0.3901524233130114,0.00025012848091740265,8.141743488738123e-07
32,902,11,0.001,90.1,3,3520.7,10,0.39092852143850165,0.000250626462559229,7.683940500639859e-07
33,1770,11,10.0,0.1,3,3520.7,10,0.3754884083023289,0.00024071964357550904,1.3532472705712303e-06
34,1801,11,10.0,45.1,3,3520.7,10,0.38554564213263964,0.00024717442505488985,9.370025661057706e-07
35,1832,11,10.0,90.1,3,3520.7,10,0.3900004997033789,0.00025003252056647883,8.078360583873786e-07
36,2700,11,25.0,0.1,3,3520.7,10,0.3127899092912176,0.0002004519741679597,3.312243849901613e-06
37,2731,11,25.0,45.1,3,3520.7,10,0.37744720613766575,0.00024197619788734318,2.6636987529642654e-06
38,2762,11,25.0,90.1,3,3520.7,10,0.3861785863208194,0.00024757920439060757,9.511408565741971e-07
39,3630,11,40.0,0.1,3,3520.7,10,0.3076518675789334,0.0001972340123195369,8.84192016565146e-07
40,3661,11,40.0,45.1,3,3520.7,10,0.312742859576716,0.00020045633901460725,2.5199330764748064e-06
41,3692,11,40.0,90.1,3,3520.7,10,0.37760847839744527,0.00024208435128012505,1.7201757567346459e-06
42,4560,11,50.0,0.1,3,3520.7,10,0.30757368176035277,0.0001971332870811034,2.72972017602248e-06
43,4591,11,50.0,45.1,3,3520.7,10,0.3062140922585319,0.00019626333756580605,2.682451579326584e-06
44,4622,11,50.0,90.1,3,3520.7,10,0.3105232882858401,0.00019902549787908372,2.7141399497112827e-06
45,842,11,0.001,0.1,5,4000.5,10,0.2921810158232654,0.0001871980212778329,1.386872545109569e-05
46,873,11,0.001,45.1,5,4000.5,10,0.294852318232946,0.0001889119845309198,1.4143562842221086e-05
47,904,11,0.001,90.1,5,4000.5,10,0.2750718304030922,0.0001762294637355331,4.103083532603554e-06
48,1772,11,10.0,0.1,5,4000.5,10,0.26932383910724,0.00017255800074482958,3.4750079648748443e-06
49,1803,11,10.0,45.1,5,4000.5,10,0.25944662332174107,0.00016624946702597357,3.0039108976343864e-06
50,1834,11,10.0,90.1,5,4000.5,10,0.2613138867516619,0.00016744637048066234,3.016214664617683e-06
51,2702,11,25.0,0.1,5,4000.5,10,0.26317887477566315,0.0001686918458162347,1.8672895816902127e-06
52,2733,11,25.0,45.1,5,4000.5,10,0.2679558826061129,0.00017175984037930483,1.7251671230651384e-06
53,2764,11,25.0,90.1,5,4000.5,10,0.25896181528564444,0.00016547649184474512,4.888293406891262e-06
54,3632,11,40.0,0.1,5,4000.5,10,0.25307740779922644,0.00016209962157440959,4.053371844291728e-06
55,3663,11,40.0,45.1,5,4000.5,10,0.2571180669510205,0.00016476776346387075,2.857656023400684e-06
56,3694,11,40.0,90.1,5,4000.5,10,0.2613523255553615,0.0001674441601063033,3.5469613678227072e-06
57,4562,11,50.0,0.1,5,4000.5,10,0.4075907034340386,0.00026122247274943983,5.3045811914146295e-06
58,4593,11,50.0,45.1,5,4000.5,10,0.40699903952849026,0.00026085179683573036,4.97780331302267e-06
59,4624,11,50.0,90.1,5,4000.5,10,0.40655001825308934,0.00026057105174771,4.688362252529794e-06
60,843,11,0.001,0.1,6,4309.7,10,0.40467160288276194,0.00025941305870718864,3.6239764935603603e-06
61,874,11,0.001,45.1,6,4309.7,10,0.4045851423502848,0.0002593585501367247,3.5275080160131044e-06
62,905,11,0.001,90.1,6,4309.7,10,0.40427668530986427,0.0002591641425107903,3.198230417360022e-06
63,1773,11,10.0,0.1,6,4309.7,10,0.41660844470536473,0.0002667553991250267,7.75948199175945e-06
64,1804,11,10.0,45.1,6,4309.7,10,0.41177597406826516,0.00026381893224138465,5.574541807889288e-06
65,1835,11,10.0,90.1,6,4309.7,10,0.4114733374621704,0.0002636353417092749,5.4054245742806995e-06
66,2703,11,25.0,0.1,6,4309.7,10,0.00015838169544833325,4.9762722434001475e-08,3.695516652587339e-08
67,2734,11,25.0,45.1,6,4309.7,10,0.1438673307918735,5.2695336302334474e-05,1.3292688198652426e-05
68,2765,11,25.0,90.1,6,4309.7,10,0.2119093578921807,7.804143987817625e-05,1.371157462895003e-05
69,3633,11,40.0,0.1,6,4309.7,10,0.39154739612099854,0.00025102601425579387,3.224307832442059e-07
70,3664,11,40.0,45.1,6,4309.7,10,0.0001306191596906726,4.094787389204409e-08,3.8069494337242436e-08
71,3695,11,40.0,90.1,6,4309.7,10,0.13993899324896242,8.909442570081458e-05,6.089497760581435e-06
72,4563,11,50.0,0.1,6,4309.7,10,0.39098852277761725,0.0002506671381188835,4.5804629034578123e-07
73,4594,11,50.0,45.1,6,4309.7,10,0.39111633983315136,0.000250749113467966,4.526148214285691e-07
74,4625,11,50.0,90.1,6,4309.7,10,0.00010095083798991447,3.7875294900195635e-08,7.012878355190419e-09
75,845,11,0.001,0.1,8,4059.2,10,0.40184268878900103,0.0002576269133181673,2.9841142953173396e-07
76,876,11,0.001,45.1,8,4059.2,10,0.4018339627954027,0.0002576213275773504,2.927870446073615e-07
77,907,11,0.001,90.1,8,4059.2,10,0.40182505399912805,0.00025761562701058613,2.8621028149554215e-07
78,1775,11,10.0,0.1,8,4059.2,10,0.4023386801125254,0.00025794452264495365,3.9601920180998254e-07
