,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,1,1,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32,1,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,63,1,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,94,2,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,125,2,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,156,2,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,187,3,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,218,3,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,249,3,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,280,4,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,311,4,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,342,4,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,373,5,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,404,5,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,435,5,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,466,6,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,497,6,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,528,6,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,559,8,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,590,8,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,621,8,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,652,9,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,683,9,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,714,9,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,745,10,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,776,10,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,807,10,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,838,11,0.001,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,869,11,0.001,45.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,900,11,0.001,90.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,931,1,10.0,0.1,1,0.0,10,386.9089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,962,1,10.0,45.1,1,0.0,10,0.19539052089999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,993,1,10.0,90.1,1,0.0,10,461.6091939022547,6.5076693772067875,1.7051365122945603,0.0,0.0,0.0,0.0,0.0,0.0
33,1024,2,10.0,0.1,1,0.0,10,489.4239430156531,6.257431070359841,1.8475697356701053,0.0,0.0,0.0,0.0,0.0,0.0
34,1055,2,10.0,45.1,1,0.0,10,477.6448954710106,6.1581983675456895,1.8496019372836474,0.0,0.0,0.0,0.0,0.0,0.0
35,1086,2,10.0,90.1,1,0.0,10,430.0992909569337,5.8367268779567905,1.8506361906066764,0.0,0.0,0.0,0.0,0.0,0.0
36,1117,3,10.0,0.1,1,0.0,10,57.478123588667,1.5810788700605345,1.698835707804011,0.0,0.0,0.0,0.0,0.0,0.0
37,1148,3,10.0,45.1,1,0.0,10,304.85471827858197,3.6793552148042417,1.702773852783907,0.0,0.0,0.0,0.0,0.0,0.0
38,1179,3,10.0,90.1,1,0.0,10,422.8895804072657,5.784489370198785,1.8509478743550547,0.0,0.0,0.0,0.0,0.0,0.0
39,1210,4,10.0,0.1,1,0.0,10,364.62031946433996,5.2967894687745805,1.8619079185247596,0.0,0.0,0.0,0.0,0.0,0.0
40,1241,4,10.0,45.1,1,0.0,10,188.82177844969638,2.8052050635873202,1.7604868186368812,0.0,0.0,0.0,0.0,0.0,0.0
41,1272,4,10.0,90.1,1,0.0,10,112.96304745001552,2.088674613420297,1.708714251554817,0.0,0.0,0.0,0.0,0.0,0.0
42,1303,5,10.0,0.1,1,0.0,10,115.06541420187321,2.6313599520896416,1.707830949498072,0.0,0.0,0.0,0.0,0.0,0.0
