,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,1,1,0.001,0.1,1,0.0,10,0.5433482168859983,1.3927746087117348,1.535855100722607,14843347.740744442,694.0192908279827,5371121.936982977
1,32,1,0.001,45.1,1,0.0,10,0.5244595299910315,1.3964527182051205,1.475058883324825,115404113.57056281,3087.103602428763,83490.02773701717
2,63,1,0.001,90.1,1,0.0,10,0.518047633761736,1.4001764658076012,1.4626606986928543,56226244.40787963,2333.4563431549277,39275.21250111128
3,931,1,10.0,0.1,1,0.0,10,25498.74916777495,562.7100965385711,987.4449418517898,5.995340505490782e-09,5.303547488567885,4.207977339520824
4,962,1,10.0,45.1,1,0.0,10,0.5360062452501136,1.3814032234732272,1.520073232263839,30637304.154766377,136.89297412283668,1001152.3875874049
5,993,1,10.0,90.1,1,0.0,10,0.5028008181742292,1.3446526388565077,1.4116204790051452,65070992.169075936,2413.82389387873,71295.27830384004
6,1861,1,25.0,0.1,1,0.0,10,32983.448003512436,489.169023771632,791.8380253327291,1.5308803518081744e-07,17.750877116889495,20.68898160054487
7,1892,1,25.0,45.1,1,0.0,10,31106.253938000165,489.45254659228544,791.6490895618638,1.8746500342875252e-07,20.542654794692524,17.640730110996017
8,1923,1,25.0,90.1,1,0.0,10,0.5419433547613931,1.4444501908767207,1.5272677260519532,83645651.0852399,182086.15257158986,8435.153369709835
9,2791,1,40.0,0.1,1,0.0,10,30759.832203649716,578.2724505477731,671.3991220039854,2.8934842407737517e-07,24.403730100129085,19.341790395809678
10,2822,1,40.0,45.1,1,0.0,10,26035.748262830923,578.3527382852708,669.7640879621458,2.815784691351225e-07,24.25325317494174,19.229824730437866
11,2853,1,40.0,90.1,1,0.0,10,33693.738747287585,579.1166822120937,670.2593928249588,3.648457913798492e-07,23.97392349404114,19.03274464614835
12,3721,1,50.0,0.1,1,0.0,10,23664.078676143105,501.142482527778,770.0401213786209,2.650795755492031e-07,24.821422273758493,19.578653681696007
13,3752,1,50.0,45.1,1,0.0,10,32160.935212366505,499.31729695573677,772.4941379231722,2.8956456767196003e-07,19.870669406591357,25.283580714746993
14,3783,1,50.0,90.1,1,0.0,10,22658.647903004414,499.59906441369503,772.3771485963185,2.1626282447715132e-07,19.769730130235516,25.109180788441776
15,2,1,0.001,0.1,2,1760.3,10,20148.450870033324,656.0512480297373,617.1356869075204,3.794524535342873e-07,21.781294552808934,19.664080206577424
16,33,1,0.001,45.1,2,1760.3,10,24836.49298743314,655.3113445652317,616.5535173552851,3.1481152457359834e-07,21.814089740388745,19.675571409810185
17,64,1,0.001,90.1,2,1760.3,10,21237.648599868324,654.0922274132258,617.561582148779,3.379168016586282e-07,22.498669962883447,20.38744161573328
