,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
0,1,1,0.001,0.1,1,0.0,10,2.923807105374554e-06,1.1975723144524175e-09,3.8462654810102785e-10
1,32,1,0.001,45.1,1,0.0,10,0.013355841145931639,3.0365523436435383e-06,1.8926877697611128e-06
2,63,1,0.001,90.1,1,0.0,10,0.01653585522035979,3.821673471466471e-06,2.4294162312094764e-06
3,931,1,10.0,0.1,1,0.0,10,0.021609911755458875,5.221035941540311e-06,3.353039895839167e-06
4,962,1,10.0,45.1,1,0.0,10,1.5692917684653164e-05,3.5293318872331613e-09,2.2350166386648808e-09
5,993,1,10.0,90.1,1,0.0,10,0.05602567922323267,4.954670443826933e-06,1.2989926320847443e-06
6,1861,1,25.0,0.1,1,0.0,10,0.09382117227106386,3.2712656413836476e-06,1.915388104198897e-06
7,1892,1,25.0,45.1,1,0.0,10,0.09382595937113791,3.3145258497713885e-06,1.9157283275806827e-06
8,1923,1,25.0,90.1,1,0.0,10,1.966750927254182e-05,4.178620980625922e-09,2.571303298723636e-09
9,2791,1,40.0,0.1,1,0.0,10,0.11566188216023246,1.3862377722328222e-06,5.477455015562672e-07
10,2822,1,40.0,45.1,1,0.0,10,0.115671729804322,1.3813650870483867e-06,5.449949423483129e-07
11,2853,1,40.0,90.1,1,0.0,10,0.11567812460691633,1.3785691328543457e-06,5.43462805923418e-07
12,3721,1,50.0,0.1,1,0.0,10,0.02139174491761909,5.139297433893766e-06,3.2958969741293422e-06
13,3752,1,50.0,45.1,1,0.0,10,0.021383119464054866,5.2009587698999e-06,3.292008847687038e-06
14,3783,1,50.0,90.1,1,0.0,10,0.021388348362611376,5.202850039404887e-06,3.2932930802625e-06
15,2,1,0.001,0.1,2,1760.3,10,0.09399885723354467,3.3620378696216208e-06,1.968683308547065e-06
16,33,1,0.001,45.1,2,1760.3,10,0.09399905611581359,3.4044337790183868e-06,1.9678389490444334e-06
17,64,1,0.001,90.1,2,1760.3,10,0.09399113425125823,3.3581039529109268e-06,1.966301625413757e-06
18,932,1,10.0,0.1,2,1760.3,10,0.11609549023732325,1.0843689359811132e-06,4.2844255328311514e-07
19,963,1,10.0,45.1,2,1760.3,10,0.1160975101325615,1.0933785884782998e-06,4.277790329941154e-07
20,994,1,10.0,90.1,2,1760.3,10,0.1160975101325615,1.0933785884782998e-06,4.277790329941154e-07
21,1862,1,25.0,0.1,2,1760.3,10,0.02194201685041446,5.4138832208777265e-06,3.4397117434354946e-06
22,1893,1,25.0,45.1,2,1760.3,10,0.021935127742667322,5.344390258862035e-06,3.439812452903111e-06
23,1924,1,25.0,90.1,2,1760.3,10,0.021931265349557704,5.410200639749495e-06,3.4371862261865286e-06
24,2792,1,40.0,0.1,2,1760.3,10,0.09429833379390497,3.5690383968353032e-06,2.063278463423334e-06
25,2823,1,40.0,45.1,2,1760.3,10,0.0942973701989778,3.5245936320552184e-06,2.063956804909509e-06
26,2854,1,40.0,90.1,2,1760.3,10,0.0942954473094604,3.567697348054147e-06,2.062501016825263e-06
27,3722,1,50.0,0.1,2,1760.3,10,0.11591692342191487,1.2166786928168698e-06,4.809140505263701e-07
28,3753,1,50.0,45.1,2,1760.3,10,0.1160569179218054,1.1278656472119584e-06,4.410494153754007e-07
29,3784,1,50.0,90.1,2,1760.3,10,0.11606093370136002,1.1253622199678168e-06,4.3981747855336306e-07
30,3,1,0.001,0.1,3,3520.7,10,0.018135813665339635,4.088788270629963e-06,2.544373385483148e-06
31,34,1,0.001,45.1,3,3520.7,10,0.019834502989747302,4.631078175569751e-06,2.9030357636363414e-06
32,65,1,0.001,90.1,3,3520.7,10,0.02055540906622748,4.894481161800406e-06,3.0819217747662333e-06
33,933,1,10.0,0.1,3,3520.7,10,0.09239870897290656,2.50962195964648e-06,1.4684528061130233e-06
34,964,1,10.0,45.1,3,3520.7,10,0.08603878971408735,9.146400192725843e-07,5.225871841205531e-07
35,995,1,10.0,90.1,3,3520.7,10,0.09139950747080704,2.0728992991824367e-06,1.2129158219958308e-06
36,1863,1,25.0,0.1,3,3520.7,10,0.1145346698966823,2.1920982370587587e-06,8.723874412860072e-07
37,1894,1,25.0,45.1,3,3520.7,10,0.11464331696729456,2.1077260218707266e-06,8.445010351668336e-07
38,1925,1,25.0,90.1,3,3520.7,10,0.10781158378316,5.943404589522532e-06,2.408837835447624e-06
39,2793,1,40.0,0.1,3,3520.7,10,0.02258610743691399,5.645583243088661e-06,3.5999313459226676e-06
40,2824,1,40.0,45.1,3,3520.7,10,0.022534813366626404,5.628103329606375e-06,3.5879265581073127e-06
41,2855,1,40.0,90.1,3,3520.7,10,0.022484360806628457,5.542404922793601e-06,3.578396001300239e-06
42,3723,1,50.0,0.1,3,3520.7,10,0.0929452375194832,2.8054305246329043e-06,1.6417797529000317e-06
43,3754,1,50.0,45.1,3,3520.7,10,0.09338231160379318,3.0636231141037564e-06,1.770403794621843e-06
44,3785,1,50.0,90.1,3,3520.7,10,0.09343527845501703,3.0921182788785435e-06,1.7869109758475603e-06
45,5,1,0.001,0.1,5,4000.5,10,0.06352170927735408,7.381838371597774e-06,6.130545991448938e-07
46,36,1,0.001,45.1,5,4000.5,10,0.06533587370281209,7.0278177511672615e-06,3.9852644408664737e-07
47,67,1,0.001,90.1,5,4000.5,10,0.0662264787329029,6.841407619264731e-06,3.1820398226279083e-07
48,935,1,10.0,0.1,5,4000.5,10,0.08722574249719227,8.757980821862416e-06,2.979286592355342e-07
49,966,1,10.0,45.1,5,4000.5,10,0.09197099147518577,8.36260768348047e-06,1.8797347708531744e-07
50,997,1,10.0,90.1,5,4000.5,10,0.09349035551434697,8.170677233477676e-06,1.0186208237719021e-09
51,1865,1,25.0,0.1,5,4000.5,10,0.03648974428172062,5.640312567072881e-06,3.418705823713996e-06
52,1896,1,25.0,45.1,5,4000.5,10,0.033880051859083375,6.0666039295071295e-06,3.7164729266500734e-06
53,1927,1,25.0,90.1,5,4000.5,10,0.03204344614265813,6.195096466809811e-06,3.823732964855305e-06
