,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,280,4,0.001,0.1,1,0.0,10,25710.476454005657,345.96152195015685,641.0763286456416,0.00036550153377935,4695.163810862181,672.3003673996623
1,311,4,0.001,45.1,1,0.0,10,26204.22675354747,545.5454624126272,991.1295627126653,5.589287786817518e-06,751.1412241590632,253.1460307459885
2,342,4,0.001,90.1,1,0.0,10,26389.804202784035,558.6683122066823,996.7175917149254,1.7547641742792816e-06,460.6265013246524,179.19104022721586
3,1210,4,10.0,0.1,1,0.0,10,0.49338557851700915,1.3442096562891073,1.379992724249801,24661898.485342994,1532.206907098841,10684.944467690791
4,1241,4,10.0,45.1,1,0.0,10,18100.748772036328,311.3533861420169,1488.409260126699,0.0423948747003229,7738.874456780696,1860.8309274259175
5,1272,4,10.0,90.1,1,0.0,10,20310.670503669593,459.803269322648,792.8249686162125,0.0021672125645597305,697.5829561490206,215.5024426919638
6,2140,4,25.0,0.1,1,0.0,10,0.5649295073090991,1.5569259318928792,1.5789054820275006,6989000.043009846,5240.541212103993,628.0457450754895
7,2171,4,25.0,45.1,1,0.0,10,0.5671504588096112,1.5604757745799003,1.5825560029475672,7014879.724088315,4151.171871365237,652.7917439140216
8,2202,4,25.0,90.1,1,0.0,10,18030.087821919133,545.3361596423026,645.2878604102941,0.07629107310196834,692.749200849633,708.3704351573348
9,3070,4,40.0,0.1,1,0.0,10,0.511406861767418,1.401829451679816,1.4326892604601327,10566551.143369593,5089.231988735702,1364.3793475789344
10,3101,4,40.0,45.1,1,0.0,10,0.5114655617785172,1.402869980451097,1.4336989374015816,12769844.23367193,10736.108175525042,1935.1127836145488
11,3132,4,40.0,90.1,1,0.0,10,0.5123378342454585,1.4028805849475583,1.4337390340192457,12258038.504190084,9087.031775790785,1790.064964021273
12,4000,4,50.0,0.1,1,0.0,10,0.595426803384204,1.6398733914810648,1.655005471844154,16322661.3469971,743.9797843256205,2105.695191566476
13,4031,4,50.0,45.1,1,0.0,10,0.5988285830504189,1.6477315154920313,1.6636662634684232,15571293.033690386,690.0058085350864,1479.698021220405
14,4062,4,50.0,90.1,1,0.0,10,0.5927724373440838,1.632111452302516,1.6468373574356931,16873776.624333434,703.1173857227462,2892.0110973728924
15,281,4,0.001,0.1,2,1760.3,10,0.5751245923846884,1.56317892280997,1.6036727690042336,46386733.36087557,881.8289185723763,6150.24988005395
16,312,4,0.001,45.1,2,1760.3,10,0.574548716529139,1.5616104927137613,1.6032656447001115,43408892.521587774,768.511770718622,4717.031341945455
17,343,4,0.001,90.1,2,1760.3,10,0.5738532936240951,1.559617615501995,1.6023953737888617,40343126.11249033,659.7266740650006,3686.6373524276864
18,1211,4,10.0,0.1,2,1760.3,10,0.6019496562724534,1.6523978345008667,1.6634144034922398,28293108.254488036,2628.781415825942,34586.36625617124
19,1242,4,10.0,45.1,2,1760.3,10,0.6071000338480298,1.665068610534782,1.677803572474867,28439172.206119336,831.5615054729103,3320.5800593426998
20,1273,4,10.0,90.1,2,1760.3,10,0.6097746315789536,1.6738857391578088,1.6877969033103575,27042063.672322482,735.4738598343328,2463.761865366061
21,2141,4,25.0,0.1,2,1760.3,10,0.5465591120537953,1.4800590353236984,1.5362277846182304,55482784.82028335,2498.9334379541983,40440.17985251617
22,2172,4,25.0,45.1,2,1760.3,10,0.5456173992860215,1.4776372381084752,1.534077084586286,54693423.024596296,2457.1421398675934,38258.76532784973
23,2203,4,25.0,90.1,2,1760.3,10,0.5427823417206324,1.4691273449882551,1.5262980236900634,51332460.440986976,875.0283048778896,8911.411369403097
24,3071,4,40.0,0.1,2,1760.3,10,0.5013199682695099,1.332097405252691,1.4095659789453572,89484000.22844012,2651.7000623353765,72507.02624277257
25,3102,4,40.0,45.1,2,1760.3,10,0.49480090774899527,1.3430535823376033,1.388681386997579,42337672.838252,2040.100332704005,36130.750744366625
26,3133,4,40.0,90.1,2,1760.3,10,0.4931488296489317,1.3387225386577133,1.384592358337944,41518485.032805614,1996.8642734552366,34109.554158269144
27,4001,4,50.0,0.1,2,1760.3,10,0.5640944821167142,1.330807747478665,1.418690401343151,274170566.49509144,48780.74496441586,207622243.78252548
28,4032,4,50.0,45.1,2,1760.3,10,0.6043999186407186,1.303187528271566,1.3808336944146937,186481376.33264512,9882258.90500379,219438.5440995105
29,4063,4,50.0,90.1,2,1760.3,10,0.6072895187625136,1.2946493977797662,1.3551056057568998,162610284.64898482,1913473.9786464013,266117.1615305615
30,282,4,0.001,0.1,3,3520.7,10,33235.93668313338,514.5856012623107,839.6588435272371,1.1037336758308594e-07,50.5903085204127,39.599060742075636
31,313,4,0.001,45.1,3,3520.7,10,0.5550669812973891,1.3450293538665075,1.5029601514657067,396387195.47591007,140135287.37735754,79985.6396380859
32,344,4,0.001,90.1,3,3520.7,10,0.5506059165678493,1.3763484683202927,1.4839241912618402,64173226.52618787,21131.174815562637,36684696.2341545
33,1212,4,10.0,0.1,3,3520.7,10,28464.71433225634,549.4895974060589,727.2631016215871,8.391036052477553e-09,77.50374608586552,50.3508744286006
34,1243,4,10.0,45.1,3,3520.7,10,27669.989590329846,550.2593332601258,727.7756632654756,6.501564975367867e-09,50.432447627585276,77.48225359577135
35,1274,4,10.0,90.1,3,3520.7,10,0.522689506051952,1.3750905536138893,1.6557649812296054,440385880.12796754,140059684.4030983,16295.806629474817
36,2142,4,25.0,0.1,3,3520.7,10,20393.15304533286,706.1014106887608,589.5968082717104,2.5861862982418643e-08,71.96229806462814,65.55728074505154
37,2173,4,25.0,45.1,3,3520.7,10,25824.037324080833,706.9451117600244,588.3069990707091,2.8492630054287927e-08,65.24709120423951,70.96743946213984
38,2204,4,25.0,90.1,3,3520.7,10,30552.312552105213,707.3659148282339,587.2213766282168,1.9684522458047162e-08,70.24838066660948,64.98087913502968
39,3072,4,40.0,0.1,3,3520.7,10,39469.66805062613,676.487813721122,757.8930483730271,1.2279862810611633e-07,48.85163534011451,67.80125819329257
40,3103,4,40.0,45.1,3,3520.7,10,28987.879566784814,678.9403940343144,757.0620617672045,7.204213681410676e-08,70.47590624372474,50.008269613583394
41,3134,4,40.0,90.1,3,3520.7,10,42815.743852969674,677.6854071766838,757.4980421775089,2.108918553351738e-07,69.14523130757902,49.43331368671189
42,4002,4,50.0,0.1,3,3520.7,10,37847.46831930912,536.5530205989096,947.2406768619046,1.269606309444592e-07,33.599596064119005,24.9496309126937
43,4033,4,50.0,45.1,3,3520.7,10,26807.402461782436,536.4865112847965,947.2687987065461,1.5791261691468748e-07,33.69556093439526,25.060638776941513
44,4064,4,50.0,90.1,3,3520.7,10,26146.064606210515,536.0165214298871,954.6427822066656,1.0301214776789238e-07,23.105031917852752,31.750497133871406
45,284,4,0.001,0.1,5,4000.5,10,1108.5556383824492,527.6225573873401,772.4424061265895,1.7307656551227087e-09,82.45981331427826,50.592465368690384
46,315,4,0.001,45.1,5,4000.5,10,690.4401898817831,491.2098133285045,732.4593140071714,6.153799263642032e-10,316.7846653137964,136.44277181137247
47,346,4,0.001,90.1,5,4000.5,10,847.7626117132097,526.8162567160897,747.7555844590598,9.211333234376968e-10,124.82809497630195,71.58355757188922
48,1214,4,10.0,0.1,5,4000.5,10,1004.6257085784727,743.3218323602953,611.1855802032799,5.15927783655244e-09,86.26966977424539,107.83144735811447
49,1245,4,10.0,45.1,5,4000.5,10,3359.2306788159576,750.1723567931826,610.7601382664168,4.1652350572470294e-10,102.4477502143057,83.24748890067345
50,1276,4,10.0,90.1,5,4000.5,10,755.0374825317073,673.7240226671948,626.541373186079,9.936206876639771e-10,395.39769474902187,251.24633494238077
51,2144,4,25.0,0.1,5,4000.5,10,440.16791253773886,714.2276214019863,743.6537548740232,3.8660834328810396e-10,113.56005413411202,69.24199303212622
52,2175,4,25.0,45.1,5,4000.5,10,1556.3019304081565,714.3611889033489,746.7565360591442,3.1014830269408645e-10,111.9194445679244,69.52089852040231
53,2206,4,25.0,90.1,5,4000.5,10,2635.743644489035,713.9650702440292,749.200845700018,8.249809917739647e-10,104.92445978215083,66.42023889627119
54,3074,4,40.0,0.1,5,4000.5,10,1200.1105269525608,507.9003530365942,942.0766298130275,1.443237610811361e-08,19.889802368784007,13.179851353675136
55,3105,4,40.0,45.1,5,4000.5,10,528.6674410345499,509.63085268198836,944.0473073799623,1.9302164864524158e-09,9.028916663616124,14.759457316794267
56,3136,4,40.0,90.1,5,4000.5,10,2405.871142618699,509.24788204023906,943.0624554141848,1.660481411762959e-08,19.506051460675543,12.12935372776751
57,4004,4,50.0,0.1,5,4000.5,10,2099.9412615928118,475.05805222347817,785.8653922289791,1.9770999009964876e-10,144.80471180811102,74.40117630182831
58,4035,4,50.0,45.1,5,4000.5,10,469.0969008087263,482.6683607327276,803.3435586966317,2.7822064288021106e-09,118.33290517680797,71.41796251159113
59,4066,4,50.0,90.1,5,4000.5,10,624.4616628925044,489.0299232701523,810.654091699962,4.1301340949479044e-10,82.70100752429045,52.29961443676993
60,285,4,0.001,0.1,6,4309.7,10,593.5265418820313,581.736103806492,652.6354650664368,4.117249414167068e-09,1675.9789910370828,730.1226500442125
61,316,4,0.001,45.1,6,4309.7,10,1319.1961955075888,548.3165550207334,688.2182923830978,1.1806481130472488e-08,159.08211797128695,117.13545186221886
62,347,4,0.001,90.1,6,4309.7,10,1920.5693603213128,569.2984799363586,695.1171932805657,6.930495437275984e-10,114.14368116390317,77.83101483903494
63,1215,4,10.0,0.1,6,4309.7,10,1740.2769841533993,704.9444282746279,569.5588398066185,3.6083427343309844e-09,1730.339882024723,924.4513103521964
64,1246,4,10.0,45.1,6,4309.7,10,1254.8626337369194,721.829869520241,604.0694103296476,2.602235417388983e-10,1661.1602638822246,857.3501977304583
65,1277,4,10.0,90.1,6,4309.7,10,1662.5974322311338,726.0264916164531,654.4908590608574,2.5823481778921904e-09,283.62517053856476,151.27381618938293
66,2145,4,25.0,0.1,6,4309.7,10,1707.7515175627457,467.43727605101446,983.9454893311255,6.708443541479518e-08,219.07172121917037,270.20869293023924
67,2176,4,25.0,45.1,6,4309.7,10,1598.0865709536245,451.16559791818685,935.0072211491707,2.0629886690584472e-07,625.4841926613655,302.16709785363355
68,2207,4,25.0,90.1,6,4309.7,10,1681.7167271269675,496.4008781621217,1045.4677879727465,3.913857626604404e-08,318.83804669174884,331.5255299245073
69,3075,4,40.0,0.1,6,4309.7,10,341.70900922709836,153.219677725427,17.166036951827962,4.681331068124977e-09,62349.66859899589,36699.185731026126
70,3106,4,40.0,45.1,6,4309.7,10,143.96736789085404,160.66037250286286,18.833368049798963,5.815541770328822e-08,34251.798413524186,56125.01681705293
71,3137,4,40.0,90.1,6,4309.7,10,387.66949401542064,155.07272527489587,17.455615717886865,1.7959133498063705e-07,60260.2210661821,35797.07378068444
72,4005,4,50.0,0.1,6,4309.7,10,170.1684338641772,140.894156368465,13.781517103682667,4.588516817678081e-07,41780.692017509034,75276.51233186794
73,4036,4,50.0,45.1,6,4309.7,10,50.45937309599742,153.1906628078016,17.17241172525131,6.209279197195836e-08,62338.2929953632,36697.93670756271
74,4067,4,50.0,90.1,6,4309.7,10,304.51885663908973,160.64561753035622,18.83180329435317,3.567106827011367e-08,56108.809362151595,34263.899363647004
75,287,4,0.001,0.1,8,4059.2,10,0.5987391586197316,1.6380482366903253,1.674301177629876,1720968.5600179099,2.973073634240063,434.361770975366
76,318,4,0.001,45.1,8,4059.2,10,0.6017798710561828,1.6459630396182692,1.6820761005282368,1780149.3953427204,1.7135287956851193,456.399335478749
77,349,4,0.001,90.1,8,4059.2,10,0.5973234880306381,1.6317237308862191,1.6681295699566376,1665740.0452568692,4.1503417116508405,415.7446458288272
78,1217,4,10.0,0.1,8,4059.2,10,0.459876253209163,1.240300335247303,1.2947870204188767,1362686.0116627077,5.21450528828455,424.95710248330084
79,1248,4,10.0,45.1,8,4059.2,10,0.46060953122320847,1.241252345012738,1.2963338670897568,1445820.2162338442,3.944316303363506,419.74284002975173
80,1279,4,10.0,90.1,8,4059.2,10,0.46224597234499154,1.242951767482955,1.298670871573813,1522516.9383824288,2.9289280792272288,418.4001711174748
81,2147,4,25.0,0.1,8,4059.2,10,0.5320396871143934,1.4482117514442598,1.494884203017827,1547417.6841824034,16.985299964647048,272.51357759777824
82,2178,4,25.0,45.1,8,4059.2,10,0.535901616968734,1.4575990557608751,1.5041834600043391,1657754.752619875,9.709413488497988,318.56079563700007
83,2209,4,25.0,90.1,8,4059.2,10,0.538747971615416,1.4653198299011285,1.5117570243519343,1736935.0797476042,6.893787675289257,351.14010881139296
84,3077,4,40.0,0.1,8,4059.2,10,0.46100095742141284,1.2416153356267463,1.2891394638341622,928651.1142172443,4.787790977023188,613.3727925942519
85,3108,4,40.0,45.1,8,4059.2,10,0.4605060351798084,1.2400688609578032,1.2880551385221921,957900.6011493803,4.698397093060211,609.7464539384182
86,3139,4,40.0,90.1,8,4059.2,10,0.45872208026641137,1.2356738598553414,1.2847130080791516,1056953.8360640833,3.404221948204364,517.2298558431168
87,4007,4,50.0,0.1,8,4059.2,10,0.5870438021676897,1.6107176077092114,1.6429531924033636,281379.9546304539,3.3306042070582174,1179.7581146964915
88,4038,4,50.0,45.1,8,4059.2,10,0.5697935494958726,1.5520496212017323,1.5885474350032256,274855.7546314413,4.7756898786115904,2138.698377320631
89,4069,4,50.0,90.1,8,4059.2,10,0.5689373047736868,1.5488834561718339,1.5855538438039785,267778.18086395186,4.885725988229796,2240.2596172952285
90,280,4,0.001,0.1,1,0.0,50,26244.09616374741,101.55932751110437,919.4893568604,2.2765438087598356e-05,35415.48021740237,27181.4267750899
91,311,4,0.001,45.1,1,0.0,50,25891.85703232476,107.97851264847772,5576.638904546493,1.1735515548407479e-06,15893.586769999341,23913.9114045912
