,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,1,1,0.001,0.1,1,0.0,10,-49.71177609402991,4.10603870702886,47.30997023046875,2238.233283207839,47.30997023046875,1145975.44100242,321461.1730381937,213.24339133513448,224.81662924145883,62.286872714566684
1,32,1,0.001,45.1,1,0.0,10,-17.524437642603537,5.290557942258253,15.021336704296875,225.6405563838565,15.021336704296875,115527.96486853599,60125.2921844383,388.9019891162179,203.0326988318948,121.04706390715172
2,63,1,0.001,90.1,1,0.0,10,-11.27952700848423,5.335965112747189,8.833472308984376,78.03023303359377,8.833472308984376,39951.479313199925,24382.249900433886,197.0787474006935,94.14083510872291,58.77946220799524
3,94,2,0.001,0.1,1,0.0,10,-10.917180413857608,5.345079235695781,8.47049171640625,71.74922991770691,8.47049171640625,36735.605717865976,23282.47925762862,197.72192100957525,94.08214777778545,58.96696007767878
4,125,2,0.001,45.1,1,0.0,10,-9.852753664181176,5.368881989350282,7.407216054296875,54.86684967503336,7.407216054296875,28091.82703361701,20018.030172585455,194.69759652941653,92.03589377803466,58.11417966113589
5,156,2,0.001,90.1,1,0.0,10,-9.137253758437986,5.382477256806897,6.694583710546874,44.817451057519555,6.694583710546874,22946.53494144989,17775.606854138754,187.54732690892754,88.20792952605504,56.01448086526986
6,187,3,0.001,0.1,1,0.0,10,-8.538907012515754,5.392669301407333,6.0996631085937505,37.205890038339575,6.0996631085937505,19049.415699629866,15880.801080604811,178.46469567586368,83.62582447076917,53.3346911801737
7,218,3,0.001,45.1,1,0.0,10,-9.698816024654182,5.372155118453786,7.253438210546876,52.61236587422147,7.253438210546876,26937.531327601493,19560.416038894866,193.9752918343198,91.59593660604305,57.908240530329735
8,249,3,0.001,90.1,1,0.0,10,-9.396103521851327,5.37814410166089,6.950793615234375,48.313531881582946,6.950793615234375,24736.528323370498,18630.13311792133,191.46035025619818,90.21354746880928,57.169523579884526
9,280,4,0.001,0.1,1,0.0,10,-5.129766996102793,5.437001339049456,0.062391089311319724,8.751362223573128,2.9582701403984606,0.19303342357570863,1.993035786927244,0.05121715609491891,0.1365429385501636,0.029443947566389635
