,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,838,11,0.001,0.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
1,869,11,0.001,45.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
2,900,11,0.001,90.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
3,1768,11,10.0,0.1,1,0.0,10,0.10356022423393171,-8.842040365583245e-09,2.0676424716253807e-09,-3.442177096923133e-05,2.8254375562810324e-06,63.43807328526145
4,1799,11,10.0,45.1,1,0.0,10,0.10356022423393171,-8.842040365583245e-09,2.0676424716253807e-09,-3.442177096923133e-05,2.8254375562810324e-06,63.43807328526145
5,1830,11,10.0,90.1,1,0.0,10,0.10356022423393171,-8.842040365583245e-09,2.0676424716253807e-09,-3.442177096923133e-05,2.8254375562810324e-06,63.43807328526145
6,2698,11,25.0,0.1,1,0.0,10,-0.26623102293275314,-1.0759534927855877e-08,1.7056199912244355e-11,-3.900070766927122e-05,2.5639478567897105e-07,4.098105391865923
7,2729,11,25.0,45.1,1,0.0,10,-0.26623102293275314,-1.0759534927855877e-08,1.7056199912244355e-11,-3.900070766927122e-05,2.5639478567897105e-07,4.098105391865923
8,2760,11,25.0,90.1,1,0.0,10,-0.26623102293275314,-1.0759534927855877e-08,1.7056199912244355e-11,-3.900070766927122e-05,2.5639478567897105e-07,4.098105391865923
9,3628,11,40.0,0.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
10,3659,11,40.0,45.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
11,3690,11,40.0,90.1,1,0.0,10,0.0012160283206640522,-9.565948881805454e-09,3.9611912124475326e-09,-3.479299084152381e-05,3.91076502209689e-06,64.20684639560909
12,4558,11,50.0,0.1,1,0.0,10,0.10356022423393171,-8.842040365583245e-09,2.0676424716253807e-09,-3.442177096923133e-05,2.8254375562810324e-06,63.43807328526145
