,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,1,1,0.001,0.1,1,0.0,10,146.9833535151787,0.5766499999999999,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
1,32,1,0.001,45.1,1,0.0,10,4.870465063645531,0.57665,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
2,63,1,0.001,90.1,1,0.0,10,2.1745286323424597,0.57665,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
3,931,1,10.0,0.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,962,1,10.0,45.1,1,0.0,10,248.31886644404835,3.98559944952126,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0
5,993,1,10.0,90.1,1,0.0,10,2436.0320927922166,13.898584337963529,1.8350891165840277,0.0,0.0,0.0,0.0,0.0,0.0
6,1861,1,25.0,0.1,1,0.0,10,470.11341168980124,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
7,1892,1,25.0,45.1,1,0.0,10,474.9473187460175,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
8,1923,1,25.0,90.1,1,0.0,10,1486.6131924684137,14.495,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
9,2791,1,40.0,0.1,1,0.0,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2822,1,40.0,45.1,1,0.0,10,842.5676270303583,14.495,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
11,2853,1,40.0,90.1,1,0.0,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3721,1,50.0,0.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3752,1,50.0,45.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3783,1,50.0,90.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,1,0.001,0.1,2,1760.3,10,461.7119713245898,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
16,33,1,0.001,45.1,2,1760.3,10,465.1507487437853,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
17,64,1,0.001,90.1,2,1760.3,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,932,1,10.0,0.1,2,1760.3,10,840.6573509702973,14.495,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
19,963,1,10.0,45.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,994,1,10.0,90.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1862,1,25.0,0.1,2,1760.3,10,211.07460596770056,0.5766499999999999,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
22,1893,1,25.0,45.1,2,1760.3,10,101.3996320085919,0.5766499999999999,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
23,1924,1,25.0,90.1,2,1760.3,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2792,1,40.0,0.1,2,1760.3,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2823,1,40.0,45.1,2,1760.3,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2854,1,40.0,90.1,2,1760.3,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3722,1,50.0,0.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3753,1,50.0,45.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3784,1,50.0,90.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3,1,0.001,0.1,3,3520.7,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,34,1,0.001,45.1,3,3520.7,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,65,1,0.001,90.1,3,3520.7,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,933,1,10.0,0.1,3,3520.7,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,964,1,10.0,45.1,3,3520.7,10,627.5770827357433,10.823568585986584,1.9023754700596276,0.0,0.0,0.0,0.0,0.0,0.0
