,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
0,559,8,0.001,0.1,1,0.0,10,0.02157169028352726,5.205195863200264e-06,3.3417199452664545e-06
1,590,8,0.001,45.1,1,0.0,10,0.02157865456252326,5.27343158058025e-06,3.3419875232239116e-06
2,621,8,0.001,90.1,1,0.0,10,0.021585648453932394,5.276278099191254e-06,3.3439761230062994e-06
3,1489,8,10.0,0.1,1,0.0,10,0.09313063421784833,2.89188540332836e-06,1.6923612197234417e-06
4,1520,8,10.0,45.1,1,0.0,10,0.0935940618386272,3.17490100501472e-06,1.834866309044275e-06
5,1551,8,10.0,90.1,1,0.0,10,0.09363849446202623,3.1604409623028642e-06,1.8500919758701212e-06
6,2419,8,25.0,0.1,1,0.0,10,0.11210916605508256,3.680122075691795e-06,1.4842617485047536e-06
7,2450,8,25.0,45.1,1,0.0,10,0.11481197533323023,2.0347048951413845e-06,7.984692210795358e-07
8,2481,8,25.0,90.1,1,0.0,10,0.11539150410857407,1.6112161829040446e-06,6.365877051137952e-07
9,3349,8,40.0,0.1,1,0.0,10,0.01583715118374436,4.955946984801565e-06,1.752871767822352e-06
10,3380,8,40.0,45.1,1,0.0,10,0.01947140427513926,4.487306232887101e-06,2.804974203657678e-06
11,3411,8,40.0,90.1,1,0.0,10,0.02091778120694572,5.0148495174905996e-06,3.162905835163764e-06
12,4279,8,50.0,0.1,1,0.0,10,0.08702178881634197,2.5196019453482353e-06,9.990722292976887e-07
13,4310,8,50.0,45.1,1,0.0,10,0.08746210065792176,2.97345828788007e-06,8.143070150588734e-07
14,4341,8,50.0,90.1,1,0.0,10,0.09231047997160866,2.5236591271848545e-06,1.457817213890302e-06
15,560,8,0.001,0.1,2,1760.3,10,0.11374107049724079,2.540016167810428e-06,5.577454111739962e-10
16,591,8,0.001,45.1,2,1760.3,10,0.11367749979637239,2.4321185699497263e-06,2.3153765282960826e-07
17,622,8,0.001,90.1,2,1760.3,10,0.11390604981413925,2.504574158101823e-06,5.683980557038659e-10
18,1490,8,10.0,0.1,2,1760.3,10,0.027350708318270106,6.755209953120971e-06,4.301026434517023e-06
19,1521,8,10.0,45.1,2,1760.3,10,0.027189002712989872,6.7749787652143335e-06,4.323844901243591e-06
20,1552,8,10.0,90.1,2,1760.3,10,0.027135387548171498,6.653365804498114e-06,4.272704963336154e-06
21,2420,8,25.0,0.1,2,1760.3,10,0.09455621278514027,3.7662172506402368e-06,2.200383233996843e-06
22,2451,8,25.0,45.1,2,1760.3,10,0.09448186413675755,3.77108757303883e-06,2.202940921896027e-06
23,2482,8,25.0,90.1,2,1760.3,10,0.09444791129664869,3.7928544582377476e-06,2.216092768688172e-06
24,3350,8,40.0,0.1,2,1760.3,10,0.11024956142341971,4.220825372065468e-06,2.480123701348191e-08
25,3381,8,40.0,45.1,2,1760.3,10,0.11206485013802726,3.5693060316161595e-06,2.246781292375156e-07
26,3412,8,40.0,90.1,2,1760.3,10,0.11243427842857963,3.376471060235655e-06,7.795602908463013e-10
27,4280,8,50.0,0.1,2,1760.3,10,0.007843427490036992,4.58651283320138e-06,1.143681447948561e-06
