,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,838,11,0.001,0.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,869,11,0.001,45.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,11,0.001,90.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1768,11,10.0,0.1,1,0.0,10,458.5721900721243,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
4,1799,11,10.0,45.1,1,0.0,10,436.36230665722974,10.405500000000002,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
5,1830,11,10.0,90.1,1,0.0,10,731.4808989011516,10.4055,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
6,2698,11,25.0,0.1,1,0.0,10,842.4791665442029,14.495000000000001,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
7,2729,11,25.0,45.1,1,0.0,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2760,11,25.0,90.1,1,0.0,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3628,11,40.0,0.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3659,11,40.0,45.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3690,11,40.0,90.1,1,0.0,10,1.33010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4558,11,50.0,0.1,1,0.0,10,433.097721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4589,11,50.0,45.1,1,0.0,10,477.12932705184977,10.405499999999998,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
14,4620,11,50.0,90.1,1,0.0,10,489.93467118748333,10.405499999999998,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
15,839,11,0.001,0.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,870,11,0.001,45.1,2,1760.3,10,840.4200999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
