,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
22,2172,4,25.0,45.1,2,1760.3,10,436.02027668902883,9.826910595723087,1.957682853347791
23,2203,4,25.0,90.1,2,1760.3,10,399.0700296853756,9.204419670515048,1.9835065360591435
24,3071,4,40.0,0.1,2,1760.3,10,346.9363910966194,3.691098786330568,2.231409478435855
25,3102,4,40.0,45.1,2,1760.3,10,937.7316077698706,12.413444307295435,1.9310977176302615
26,3133,4,40.0,90.1,2,1760.3,10,236.71717191769423,2.5793481210227442,2.885680131549169
27,4001,4,50.0,0.1,2,1760.3,10,1591.4017424596218,13.12929075910829,1.7171785003058697
28,4032,4,50.0,45.1,2,1760.3,10,1491.1604883174707,11.232616393256306,1.6455729802300274
29,4063,4,50.0,90.1,2,1760.3,10,3853.7731925073226,18.321143855690856,1.7001279959002844
30,282,4,0.001,0.1,3,3520.7,10,1.33010089,0.0,0.0
31,313,4,0.001,45.1,3,3520.7,10,442.67283643686307,4.72759743383578,1.9824383460986679
32,344,4,0.001,90.1,3,3520.7,10,28446.607401799643,45.044518569242285,1.9949622446451434
33,1212,4,10.0,0.1,3,3520.7,10,433.097721,0.0,0.0
34,1243,4,10.0,45.1,3,3520.7,10,433.097721,0.0,0.0
35,1274,4,10.0,90.1,3,3520.7,10,916.5755088846054,14.495,1.5707963267948966
36,2142,4,25.0,0.1,3,3520.7,10,840.4200999999999,0.0,0.0
37,2173,4,25.0,45.1,3,3520.7,10,840.4200999999999,0.0,0.0
38,2204,4,25.0,90.1,3,3520.7,10,840.4200999999999,0.0,0.0
39,3072,4,40.0,0.1,3,3520.7,10,1.33010089,0.0,0.0
40,3103,4,40.0,45.1,3,3520.7,10,1.33010089,0.0,0.0
41,3134,4,40.0,90.1,3,3520.7,10,1.33010089,0.0,0.0
42,4002,4,50.0,0.1,3,3520.7,10,433.097721,0.0,0.0
43,4033,4,50.0,45.1,3,3520.7,10,433.097721,0.0,0.0
44,4064,4,50.0,90.1,3,3520.7,10,433.097721,0.0,0.0
45,284,4,0.001,0.1,5,4000.5,10,433.097721,0.0,0.0
46,315,4,0.001,45.1,5,4000.5,10,473.03342819466553,9.317398246056356,1.954569934759369
47,346,4,0.001,90.1,5,4000.5,10,433.8584475080776,10.4055,1.5707963267948966
48,1214,4,10.0,0.1,5,4000.5,10,840.4200999999999,0.0,0.0
49,1245,4,10.0,45.1,5,4000.5,10,840.4200999999999,0.0,0.0
50,1276,4,10.0,90.1,5,4000.5,10,629.3789968237285,10.22665504511931,3.141592653589793
51,2144,4,25.0,0.1,5,4000.5,10,1.33010089,0.0,0.0
52,2175,4,25.0,45.1,5,4000.5,10,1.33010089,0.0,0.0
53,2206,4,25.0,90.1,5,4000.5,10,1.33010089,0.0,0.0
54,3074,4,40.0,0.1,5,4000.5,10,433.097721,0.0,0.0
55,3105,4,40.0,45.1,5,4000.5,10,433.097721,0.0,0.0
56,3136,4,40.0,90.1,5,4000.5,10,433.097721,0.0,0.0
57,4004,4,50.0,0.1,5,4000.5,10,840.4200999999999,0.0,0.0
58,4035,4,50.0,45.1,5,4000.5,10,840.4200999999999,0.0,0.0
59,4066,4,50.0,90.1,5,4000.5,10,840.4200999999999,0.0,0.0
60,285,4,0.001,0.1,6,4309.7,10,1.33010089,0.0,0.0
61,316,4,0.001,45.1,6,4309.7,10,1.33010089,0.0,0.0
62,347,4,0.001,90.1,6,4309.7,10,1.33010089,0.0,0.0
63,1215,4,10.0,0.1,6,4309.7,10,422.79584400000005,0.0,0.0
64,1246,4,10.0,45.1,6,4309.7,10,422.79584400000005,0.0,0.0
65,1277,4,10.0,90.1,6,4309.7,10,433.097721,0.0,0.0
66,2145,4,25.0,0.1,6,4309.7,10,840.5940489999999,0.0,0.0
67,2176,4,25.0,45.1,6,4309.7,10,840.5940489999999,0.0,0.0
68,2207,4,25.0,90.1,6,4309.7,10,840.5940489999999,0.0,0.0
69,3075,4,40.0,0.1,6,4309.7,10,134.9005761078906,0.5766499999999999,1.5707963267948966
70,3106,4,40.0,45.1,6,4309.7,10,163.38919167036252,0.5766499999999999,1.5707963267948966
71,3137,4,40.0,90.1,6,4309.7,10,215.4534847841076,0.5766499999999999,1.5707963267948966
72,4005,4,50.0,0.1,6,4309.7,10,1744.8419569432008,8.370368672661916,1.8441211509649984
73,4036,4,50.0,45.1,6,4309.7,10,1345.9504567323324,9.22407635348313,1.8379900335204622
74,4067,4,50.0,90.1,6,4309.7,10,1108.6068963213843,11.14853573830015,2.2490670518672937
75,287,4,0.001,0.1,8,4059.2,10,153.32554537586992,1.728162644339351,2.768618526238536
76,318,4,0.001,45.1,8,4059.2,10,224.24921578881748,5.106062044675521,2.2244288311354143
77,349,4,0.001,90.1,8,4059.2,10,486.18887730502087,10.105037819695328,1.9392342678200283
78,1217,4,10.0,0.1,8,4059.2,10,709.5910900015256,11.367857897281919,2.0171329874453976
79,1248,4,10.0,45.1,8,4059.2,10,569.7753419754675,9.819618405320576,2.0940806076825704
80,1279,4,10.0,90.1,8,4059.2,10,565.3591291822482,9.727833012529464,2.097363393425376
81,2147,4,25.0,0.1,8,4059.2,10,29.861183076810256,0.9587787835920862,1.7675657609318802
82,2178,4,25.0,45.1,8,4059.2,10,801.4479429668338,8.704494456759702,1.7196826854074883
83,2209,4,25.0,90.1,8,4059.2,10,7.6221526262383135,0.6151154188282255,1.8177399574742772
84,3077,4,40.0,0.1,8,4059.2,10,424.11294265374636,9.656064846809436,1.965135611351369
85,3108,4,40.0,45.1,8,4059.2,10,645.938763020627,10.938265121033579,1.9009174910947637
86,3139,4,40.0,90.1,8,4059.2,10,589.9075206607147,10.661432701532616,1.9126008405022663
87,4007,4,50.0,0.1,8,4059.2,10,1076.6639476113914,12.271808672258269,1.8553224162902904
88,4038,4,50.0,45.1,8,4059.2,10,394.61779153654066,6.177317600253564,2.3142056122020547
89,4069,4,50.0,90.1,8,4059.2,10,692.7889566028745,11.697531618877486,2.02006868523284
90,280,4,0.001,0.1,1,0.0,50,0.49498260250000004,0.0,0.0
91,311,4,0.001,45.1,1,0.0,50,0.49498260250000004,0.0,0.0
92,342,4,0.001,90.1,1,0.0,50,0.313378900950716,0.18150426950999804,0.0
93,1210,4,10.0,0.1,1,0.0,50,1098.7016502368374,11.728321484976274,1.803382982076009
94,1241,4,10.0,45.1,1,0.0,50,583.9474445027166,1.8563843004300462,2.1139752017968205
95,1272,4,10.0,90.1,1,0.0,50,496.07080530793064,6.2757914888268935,1.950569550308589
96,2140,4,25.0,0.1,1,0.0,50,5924.127369450766,10.523972915224784,1.8419052605498853
97,2171,4,25.0,45.1,1,0.0,50,1588.586924418476,11.564042898621347,1.868622458606376
98,2202,4,25.0,90.1,1,0.0,50,4585.188433060276,17.408006487747947,1.9202355642301474
99,3070,4,40.0,0.1,1,0.0,50,8.351143232743146,0.7913983319493589,1.7543772813671228
100,3101,4,40.0,45.1,1,0.0,50,1623.7348785129784,8.874539002518986,1.7133133107088137
101,3132,4,40.0,90.1,1,0.0,50,148.36614319952506,1.6636779466991163,1.7819119885212098
102,4000,4,50.0,0.1,1,0.0,50,148.49821549717865,1.7230254557846147,2.7002842291337594
103,4031,4,50.0,45.1,1,0.0,50,210.88044008888937,4.841563549475013,2.2445835615931955
104,4062,4,50.0,90.1,1,0.0,50,576.7487998051123,10.479046943168017,1.9116882241944557
105,281,4,0.001,0.1,2,1760.3,50,309.571841241126,3.515253424140413,2.619812583304597
106,312,4,0.001,45.1,2,1760.3,50,556.2654777966225,9.722933572118064,2.092556658236967
107,343,4,0.001,90.1,2,1760.3,50,447.24750555406456,7.620387704163916,2.193786610391538
108,1211,4,10.0,0.1,2,1760.3,50,30.524809296533686,0.9903854489026491,1.7453047845350016
109,1242,4,10.0,45.1,2,1760.3,50,351.8376825883591,4.391357477296953,1.7173315533919595
110,1273,4,10.0,90.1,2,1760.3,50,23.888465951482296,1.6798943114043194,1.7734331295258168
111,2141,4,25.0,0.1,2,1760.3,50,449.409891852743,9.821319093892308,1.9467719413753144
112,2172,4,25.0,45.1,2,1760.3,50,421.22324181837035,9.66089077787244,1.9578732150605804
113,2203,4,25.0,90.1,2,1760.3,50,413.53609237714534,9.551632980706753,1.9628021668425066
114,3071,4,40.0,0.1,2,1760.3,50,1181.0443409723107,13.66612190453975,1.8513385552073822
115,3102,4,40.0,45.1,2,1760.3,50,701.7655856268881,8.020716217841775,2.044805176134839
116,3133,4,40.0,90.1,2,1760.3,50,446.98049230314416,7.626263195252987,2.199018439823963
117,4001,4,50.0,0.1,2,1760.3,50,1606.728414532422,10.791922509911826,1.7139071430780743
118,4032,4,50.0,45.1,2,1760.3,50,4631.662855447114,19.71775171625101,1.7967172918010859
119,4063,4,50.0,90.1,2,1760.3,50,3853.6410097476514,14.940058256854785,1.7123649615810173
120,282,4,0.001,0.1,3,3520.7,50,0.48987400810000004,0.0,0.0
121,313,4,0.001,45.1,3,3520.7,50,394.1819483731109,4.419717673704726,1.9963360028432109
122,344,4,0.001,90.1,3,3520.7,50,27720.472615176488,43.33159942289185,1.995296476425525
123,1212,4,10.0,0.1,3,3520.7,50,428.8212639999999,0.0,0.0
124,1243,4,10.0,45.1,3,3520.7,50,428.8212639999999,0.0,0.0
125,1274,4,10.0,90.1,3,3520.7,50,716.5877277510651,12.40637932176558,3.141592653589793
126,2142,4,25.0,0.1,3,3520.7,50,817.1593959999999,0.0,0.0
127,2173,4,25.0,45.1,3,3520.7,50,817.1593959999999,0.0,0.0
128,2204,4,25.0,90.1,3,3520.7,50,817.1593959999999,0.0,0.0
129,3072,4,40.0,0.1,3,3520.7,50,0.48987400810000004,0.0,0.0
130,3103,4,40.0,45.1,3,3520.7,50,0.48987400810000004,0.0,0.0
131,3134,4,40.0,90.1,3,3520.7,50,0.48987400810000004,0.0,0.0
132,4002,4,50.0,0.1,3,3520.7,50,428.8212639999999,0.0,0.0
133,4033,4,50.0,45.1,3,3520.7,50,428.8212639999999,0.0,0.0
134,4064,4,50.0,90.1,3,3520.7,50,428.8212639999999,0.0,0.0
135,284,4,0.001,0.1,5,4000.5,50,388.681225,0.0,0.0
136,315,4,0.001,45.1,5,4000.5,50,362.23475582400147,3.658007161395923,2.009862936277879
137,346,4,0.001,90.1,5,4000.5,50,430.1965418988042,10.354,1.5707963267948966
138,1214,4,10.0,0.1,5,4000.5,50,817.1022250000001,0.0,0.0
139,1245,4,10.0,45.1,5,4000.5,50,817.1022250000001,0.0,0.0
140,1276,4,10.0,90.1,5,4000.5,50,651.8605195897464,11.029071166461534,3.141592653589793
141,2144,4,25.0,0.1,5,4000.5,50,0.49498260250000004,0.0,0.0
142,2175,4,25.0,45.1,5,4000.5,50,0.49498260250000004,0.0,0.0
143,2206,4,25.0,90.1,5,4000.5,50,0.49498260250000004,0.0,0.0
144,3074,4,40.0,0.1,5,4000.5,50,388.681225,0.0,0.0
145,3105,4,40.0,45.1,5,4000.5,50,388.681225,0.0,0.0
146,3136,4,40.0,90.1,5,4000.5,50,388.681225,0.0,0.0
147,4004,4,50.0,0.1,5,4000.5,50,1277.6470667316466,12.924414143042828,1.9095307405974964
148,4035,4,50.0,45.1,5,4000.5,50,816.6507855599098,14.284601378055843,3.141592653589793
149,4066,4,50.0,90.1,5,4000.5,50,817.1022250000001,0.0,0.0
150,285,4,0.001,0.1,6,4309.7,50,0.49498260250000004,0.0,0.0
151,316,4,0.001,45.1,6,4309.7,50,0.49498260250000004,0.0,0.0
152,347,4,0.001,90.1,6,4309.7,50,0.49498260250000004,0.0,0.0
153,1215,4,10.0,0.1,6,4309.7,50,388.681225,0.0,0.0
154,1246,4,10.0,45.1,6,4309.7,50,388.681225,0.0,0.0
155,1277,4,10.0,90.1,6,4309.7,50,388.681225,0.0,0.0
156,2145,4,25.0,0.1,6,4309.7,50,817.0553112551785,14.291679375692322,3.141592653589793
157,2176,4,25.0,45.1,6,4309.7,50,817.0572640888792,14.291713535977397,3.141592653589793
158,2207,4,25.0,90.1,6,4309.7,50,817.0501358689496,14.291588843948556,3.141592653589793
159,3075,4,40.0,0.1,6,4309.7,50,0.49498260250000004,0.0,0.0
160,3106,4,40.0,45.1,6,4309.7,50,0.49498260250000004,0.0,0.0
161,3137,4,40.0,90.1,6,4309.7,50,0.49498260250000004,0.0,0.0
162,4005,4,50.0,0.1,6,4309.7,50,768.2678378661975,7.828477611037689,1.902514557550117
163,4036,4,50.0,45.1,6,4309.7,50,1389.3158181573608,6.728538546534701,1.8614235187623758
164,4067,4,50.0,90.1,6,4309.7,50,2161.2209904379715,15.804785656149273,1.944890023676155
165,287,4,0.001,0.1,8,4059.2,50,148.9735035529867,1.768402124296902,2.76035283827351
166,318,4,0.001,45.1,8,4059.2,50,215.69498405631367,5.0202802355796985,2.2293938498382184
167,349,4,0.001,90.1,8,4059.2,50,464.98595230511654,9.831469858286095,1.9427965272787369
168,1217,4,10.0,0.1,8,4059.2,50,385.0910422133449,6.1261793661849735,2.311123370796971
169,1248,4,10.0,45.1,8,4059.2,50,548.7999473584159,9.588684459879437,2.0981989688042813
170,1279,4,10.0,90.1,8,4059.2,50,443.3611812142966,7.546751174754234,2.2058732104857173
171,2147,4,25.0,0.1,8,4059.2,50,27.89968110616202,0.8787317633963234,1.7471093049199584
172,2178,4,25.0,45.1,8,4059.2,50,798.9449095944726,8.422925152932233,1.7158434109328349
173,2209,4,25.0,90.1,8,4059.2,50,2.2000207067759665,0.40251424009391684,1.8279434624794728
174,3077,4,40.0,0.1,8,4059.2,50,553.1175694048986,10.389791133560292,1.916338593196352
175,3108,4,40.0,45.1,8,4059.2,50,418.95042191390456,9.64783052308783,1.9590412724450879
176,3139,4,40.0,90.1,8,4059.2,50,439.9944941982479,9.768137636590186,1.9504020059968006
177,4007,4,50.0,0.1,8,4059.2,50,596.5897245807439,10.092982732235088,2.0660575892350557
178,4038,4,50.0,45.1,8,4059.2,50,381.52946837051206,6.0285058136926635,2.319624994750341
179,4069,4,50.0,90.1,8,4059.2,50,440.22337867477654,7.471969332476671,2.2025564448999413
