,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,559,8,0.001,0.1,1,0.0,10,-4.357123141360701,2.5900874804114222,0.04564333013383857,4.861043567521013,2.204777441720822,3.6174175942824196e-05,1.0666565558488144,5.780884947510256e-05,0.00012726186742825259,1.3311774887045582e-05
1,590,8,0.001,45.1,1,0.0,10,-4.369971469340579,2.495075836958104,0.045605396250758316,4.917925402312241,2.217639601538591,3.2507311884925105e-05,1.064884309569711,5.68591765844965e-05,0.00011166317451089939,1.174392832903721e-05
2,621,8,0.001,90.1,1,0.0,10,-4.381798597727452,2.4009566905327304,0.045569280642267784,4.9705873288296,2.2294814035621826,2.883144312723419e-05,1.0631983811570376,5.618796837760856e-05,9.753587267163e-05,1.0340220980628565e-05
3,1489,8,10.0,0.1,1,0.0,10,-6.046853427556938,3.6881361664393406,0.046029975106879534,8.708139614629474,2.950955712075238,1.3391075823378774e-05,1.0848044074541332,7.913929402985515e-05,0.0004994151095365165,0.00010279662869258489
4,1520,8,10.0,45.1,1,0.0,10,-5.959984966473172,3.089216531717387,0.04570615360485111,7.9367767469666735,2.8172285578146963,5.961745016346977e-06,1.0695948683904786,6.858366433824533e-05,0.00022058597518734993,4.471198842820049e-05
5,1551,8,10.0,90.1,1,0.0,10,-5.9325707095903235,2.9872144576008766,0.04566411201125487,7.810218642822859,2.794676840499248,5.666409902721195e-06,1.0676280963849025,6.735759081820295e-05,0.0001924683241833517,4.022501448591388e-05
6,2419,8,25.0,0.1,1,0.0,10,-6.931266507459595,4.272028589654155,0.047160742562496576,9.733676486622407,3.11988405018879,1.4835428097495112e-05,1.1387574470813788,0.00043855432330595917,0.0005125742336578042,0.0008145478404659719
7,2450,8,25.0,45.1,1,0.0,10,-7.135812866631586,2.514277138720319,0.045967883439784876,9.857382328768638,3.1396468477790043,7.595733012267657e-06,1.0818797096091466,0.00014428505658096072,9.092314815990696e-05,0.00023103495561326012
8,2481,8,25.0,90.1,1,0.0,10,-7.178415504658583,2.0037211830691297,0.04565820227252036,9.845505456252178,3.1377548432361917,4.5457724320782765e-06,1.0673517745612338,9.371045112204572e-05,3.587906796867163e-05,0.00010807564865951714
9,3349,8,40.0,0.1,1,0.0,10,-5.004903676839945,4.577526971685902,0.04638438511994557,8.135149046033744,2.8522182676004557,0.00018772419447035674,1.1015737253641777,0.0017913505989844895,0.007569743419110922,0.0010871912049937639
10,3380,8,40.0,45.1,1,0.0,10,-4.865741717746349,3.9542896868290116,0.045550993628250824,7.362744717421903,2.713437804229517,2.5694610116878506e-05,1.0623452264207038,0.0001660194409608691,0.002068371445723121,0.00022069406639350865
11,3411,8,40.0,90.1,1,0.0,10,-5.391397571157278,2.631157069777867,0.04533559587397197,9.722122268805867,3.1180317940659084,5.526512501440768e-06,1.052321921617063,9.098606512153035e-05,0.00037403108406275967,4.750861557225992e-05
12,4279,8,50.0,0.1,1,0.0,10,-6.040924367413014,4.976548916402726,0.04488353772604675,9.84481297076583,3.1376444940059462,0.00261162918584445,1.0314403627236253,0.002358325891266701,0.0043388365394163835,0.0027669302229417696
13,4310,8,50.0,45.1,1,0.0,10,-6.037422303420687,5.061647579136643,0.04488279155478453,9.82369238742486,3.1342770119159633,0.002309654085383768,1.03140606843648,0.0018684133984433308,0.0035336954997165705,0.0023983739183925843
14,4341,8,50.0,90.1,1,0.0,10,-5.967025087441848,4.2398210363452336,0.045030565647977444,9.321394610889751,3.0530959059436293,0.00019620987846008108,1.0382089433318034,0.0005128480885277645,0.0009986698800146273,0.0006280788466277538
15,560,8,0.001,0.1,2,1760.3,10,-6.792606739765635,5.031174344287383,0.04507368202018993,9.633935711472951,3.1038581977070008,0.0010885178018992278,1.040198046910475,0.0010776061610685748,0.008161065293766074,0.0010729414196458977
16,591,8,0.001,45.1,2,1760.3,10,-6.7931758025755595,5.046108679547267,0.04508198685836477,9.637397034453565,3.104415731575519,0.001105799473741713,1.0405813957595311,0.0011783067604212978,0.008592474895190865,0.0011258408720117132
17,622,8,0.001,90.1,2,1760.3,10,-6.791397540427872,5.022738940665649,0.04507510461520682,9.631657133256141,3.1034911202154487,0.0010067558393251303,1.0402637084814967,0.0009164251260470186,0.0072915495430176495,0.000960195756523808
18,1490,8,10.0,0.1,2,1760.3,10,-5.292638670436743,5.113708777333268,0.05015618828385192,9.843220366001127,3.1373906938730354,0.005138814831017994,1.288009329707982,0.0006132273656428675,0.009434014830864042,0.0011825830514097507
19,1521,8,10.0,45.1,2,1760.3,10,-5.295855900050414,5.108905965772619,0.04992908460870306,9.864213328693369,3.1407345205689334,0.004736324862460304,1.2763717062871776,0.0005245744884667767,0.008541641618162461,0.0010879478111928528
20,1552,8,10.0,90.1,2,1760.3,10,-5.295771252507149,5.133611365679536,0.05008008789071391,9.863218549545172,3.1405761492989104,0.004968718841689135,1.284103783466367,0.0005890328127252562,0.00909012688284596,0.001142770084170674
21,2420,8,25.0,0.1,2,1760.3,10,-5.970989631631536,5.074369842018146,0.049889407137540906,9.420540134142815,3.06928984198997,0.006589684407540406,1.2743439073260976,0.0013641917332853938,0.008668079171824385,0.001349816565465933
22,2451,8,25.0,45.1,2,1760.3,10,-5.804920697606454,5.030592222796917,0.049460701681895716,8.424790975257745,2.9025490478642637,0.005621446243844349,1.2525368372935166,0.0009774230243864888,0.007146850384403848,0.0011730400139536618
23,2482,8,25.0,90.1,2,1760.3,10,-5.736937585159713,5.018000603792601,0.04926224270578287,8.024414282232451,2.83273971311034,0.005166165060119966,1.2425055006141208,0.0008302199731445611,0.006488106286171336,0.001088919120572224
24,3350,8,40.0,0.1,2,1760.3,10,-6.753159463191572,5.237680585209869,0.05466158826133986,9.391144830113458,3.0644974841095003,0.0009631089444702144,1.5297992860825036,0.002289086601263533,0.038597053866204226,0.00421221184055843
25,3381,8,40.0,45.1,2,1760.3,10,-6.765031010703941,5.12799780963338,0.05199976124724422,9.466410842318988,3.076753295654201,0.0006072323248444427,1.3844352866847498,0.0013339285236843468,0.019408988530881348,0.0022149433254591796
26,3412,8,40.0,90.1,2,1760.3,10,-6.768302635626,5.070520757132957,0.051366650016330305,9.486040645275411,3.079941662641585,0.0005867540245868782,1.3509287595332728,0.0012405313562659725,0.015769977886590344,0.0017976741058749043
