,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,1,1,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32,1,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,63,1,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,94,2,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,125,2,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,156,2,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,187,3,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,218,3,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,249,3,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,280,4,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,311,4,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,342,4,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,373,5,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,404,5,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,435,5,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,466,6,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,497,6,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,528,6,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,559,8,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,590,8,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,621,8,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,652,9,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,683,9,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,714,9,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,745,10,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,776,10,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,807,10,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,838,11,0.001,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,869,11,0.001,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,900,11,0.001,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,931,1,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,962,1,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,993,1,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1024,2,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1055,2,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1086,2,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1117,3,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1148,3,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1179,3,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1210,4,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1241,4,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1272,4,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1303,5,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1334,5,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1365,5,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1396,6,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1427,6,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1458,6,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
