,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23
0,1,1,0.001,0.1,1,0.0,10,1.682928863947873,1.6665407357668567,1.1658867661531724,0.7689557821888863,0.5604194328354157,0.4212984575475834,0.38642065930702135,0.2919381646088646,0.48068084234673325,0.547883854060279,0.33143927054083566,0.3796553343780604,0.037395471772650415,0.2707461698701135,14.512242843974848,1.6097119709534036,7.0190081946045915,14.134021982141777,10.330198299007032,0.333192998548177,-232.7519566583265,-197578922339.75183,3110.5534959097527,5808573976042793.0
1,32,1,0.001,45.1,1,0.0,10,0.9975929877813082,0.8507947205085863,0.60919581207198,0.5387705421213119,0.3415390213679584,0.22204052249924466,0.23874195616279875,0.14835054917075452,0.5606391485298057,0.41212446698551874,0.39189690971577135,0.27535014922428935,0.05563545172481677,0.02077164928221309,23.45774666848972,1.587235430552794,14.550877413207912,8.86743470196575,1.0289954762417173,1.2859779996767648,-5417.598362706742,-1979.0244436612588,138635.88524794005,40578.49553814724
2,63,1,0.001,90.1,1,0.0,10,0.6563964186193009,0.5302506821964975,0.3975889097522518,0.3844532919466688,0.22189168980098345,0.14630345774839518,0.15539560251559412,0.1011079621884706,0.5580932575288633,0.38054936922920235,0.39084491217932926,0.26299153709027484,0.05743975053578871,0.011319057032587091,25.57598207518259,1.5937122812670685,15.647530629429081,6.951568963614843,0.3707697568549353,1.8773537891036869,-27228.68300140626,-481.49617137917886,1071391.986557403,6219.579147573269
3,931,1,10.0,0.1,1,0.0,10,6.058858313619939e-05,0.018899430940830932,0.0002968816878099673,0.03294995132132637,2.3527788944133005e-05,0.005893403882763855,1.1553866710292646e-05,0.0036807857014006084,0.07924971431445459,0.1788592591622263,0.038917411159721735,0.11170838055284997,0.0007721440472647919,0.0003331872641411941,28.86687959493934,1.610332791678795,1.4010119926701066,1.2439711406079728,8.031408613962732e-06,3.2126781742613244,-143124604.0874101,13.700206938139916,83827544474.66885,216.68328071994551
4,962,1,10.0,45.1,1,0.0,10,1.0701178701345901,1.8225016507657736,0.8624406731016663,1.0820672425920264,0.31286871469230654,0.5960805106219434,0.2090660985556158,0.41354789904898337,0.36277128902920486,0.5508719672486053,0.24241215085987794,0.38218317935432045,0.021131840424455577,0.5540162184038209,14.504518620046575,2.3700716092128027,5.183588228453918,16.259145172212452,6.631832483604575,0.18917463183209351,-94.1871915816011,-237700846489.15305,1080.7716034401062,1.3475565179236488e+16
5,993,1,10.0,90.1,1,0.0,10,0.7188678320670417,0.8914929824301182,0.4445256828613682,0.6704873745695454,0.22655474113286828,0.31029845591959443,0.15803332369214965,0.20843454364127487,0.5096550095251137,0.46279537495960577,0.35550999590148463,0.31087019912207947,0.03743002955148676,0.02978232580400984,23.09461503328495,2.3328725462261435,12.42182822559846,18.96150412247256,0.7163763743498048,1.2120305546435182,-3940.3404450989296,-7070.340046910361,73105.47882970807,161776.1487281223
6,1861,1,25.0,0.1,1,0.0,10,5.984604025708735e-05,0.02168183162279564,0.000312040540149347,0.03657902100050742,8.937005749961537e-05,0.016643354776581132,7.272257574607469e-05,0.011614223419580924,0.2864052775220861,0.45499727224384323,0.2330548963646475,0.3175105047075977,0.003566168941741673,0.0009838168378697783,28.85612403785876,2.3709326189919766,1.7476079860669664,1.3630998200817226,8.037485633676193e-06,3.209742990590368,-304438661.5934367,13.39986726990309,240914925231.88187,213.09768107790782
7,1892,1,25.0,45.1,1,0.0,10,5.900491881444672e-05,0.021405340741275716,0.00030829956393230867,0.03618276646294673,8.866137737842239e-05,0.016516675460146003,7.175900969307677e-05,0.01148985718936266,0.28758190977490056,0.4564790665484367,0.23275741547539922,0.31755054443194514,0.003529720596092496,0.0009749611755746637,28.858026860373197,2.370923927032634,1.712800430351803,1.343358786884974,8.035943769076287e-06,3.210507664412976,-291086524.4799171,13.449862477571173,228532384276.5037,213.69457189499198
8,1923,1,25.0,90.1,1,0.0,10,1.6210337140681006,2.4197866078949906,0.9286931090209432,1.3499513781649095,0.412326692507474,0.7294711201844643,0.27969032799344795,0.5090141749254818,0.44398595025881205,0.5403684399182505,0.3011655037349271,0.37706111728070024,0.02987327555255489,0.4719875463331344,14.496821194291929,-3.1271767153685732,10.667848162964711,16.647115245054543,2.305023223577421,0.27696356862049604,-2911.80097578762,-292395484191369.6,65987.92764813939,1.7778875529808914e+20
9,2791,1,40.0,0.1,1,0.0,10,6.609385910553966e-05,0.029355384747361376,0.0002553399670464799,0.03499509422371791,0.00012236240616411026,0.022865145378787397,0.00010779740540551634,0.019389372319482723,0.47921368354307203,0.6533814492001154,0.42217208160716113,0.5540597260727358,0.0050636952710801575,0.001471077729415516,28.841235942883294,-3.1266789033549154,1.7987026436989253,1.3738267459161813,8.03740627203295e-06,3.2099595289853555,-412485755.6158352,13.361500108963904,435047304525.73706,212.82944570048164
